location,alltrails_url,other_alltrails_urls,crosswalk_confidence,included_in_app,crosswalk_human_notes,crosswalk_computer_notes,url_slug,url_key,geometry_file,geometry_match_score,geometry_match_method,alltrails_trail_name,geometry_point_count,geometry_latitude,geometry_longitude,geometry_min_latitude,geometry_max_latitude,geometry_min_longitude,geometry_max_longitude,geometry_mean_elevation,manual_latitude,manual_longitude,manual_location_notes,model_latitude,model_longitude,coordinate_source
Red Hill Dinch Road,https://www.alltrails.com/trail/us/new-york/red-hill-firetower-from-denning-road,,High,N,,Verified as an indexed direct AllTrails trail page; confirm the route passes the DEC counter/trailhead.,red-hill-firetower-from-denning-road,redhillfiretowerfromdenningroad,,0.3611111111111111,crosswalk_only_no_download,,,,,,,,,,,,,,,Needs coordinates
Roaring Kill,,,Low,,,"Roaring Kill-area routes are indexed by title, but a direct trail-page URL could not be independently confirmed.",,,,,no_valid_crosswalk_url,,,,,,,,,,,,,,,Needs coordinates
Rochester Hollow,,,Low,,,"Rochester Hollow Trail is indexed by title, but its direct trail-page URL could not be independently confirmed.",,,,,no_valid_crosswalk_url,,,,,,,,,,,,,,,Needs coordinates
Rock Shelter (N Lake Bypass),https://www.alltrails.com/trail/us/new-york/north-lake-south-lake-trail-2,https://www.alltrails.com/trail/us/new-york/escarpment-trail-and-schutt-road-loop,Medium,,,Verified North–South Lake routes; confirm the rock-shelter bypass counter.,north-lake-south-lake-trail-2,northlakesouthlaketrail2,,0.65,crosswalk_only_no_download,,,,,,,,,,,,,,,Needs coordinates
Rocky,https://www.alltrails.com/trail/us/new-york/table-peekamoose-lone-and-rocky-balsam-cap-and-friday-loop,,High,,,Verified as an indexed direct AllTrails trail page; confirm the route passes the DEC counter/trailhead.,table-peekamoose-lone-and-rocky-balsam-cap-and-friday-loop,tablepeekamooseloneandrockybalsamcapandfridayloop,,0.5,crosswalk_only_no_download,,,,,,,,,,,,,,,Needs coordinates
Rt 206 Cat Hollow,https://www.alltrails.com/trail/us/new-york/campbell-mountain-via-mary-smith-trail,,Medium,,,Verified route in the Route 206/Campbell Mountain trail system; confirm Cat Hollow counter geometry.,campbell-mountain-via-mary-smith-trail,campbellmountainviamarysmithtrail,,0.6111111111111112,crosswalk_only_no_download,,,,,,,,,,,,,,,Needs coordinates
Rusk,,,Low,,,"Rusk Mountain routes are indexed by title, but a direct trail-page URL could not be independently confirmed.",,,,,no_valid_crosswalk_url,,,,,,,,,,,,,,,Needs coordinates
S.Mtn Esc Trl (Schutt Rd Trail),https://www.alltrails.com/trail/us/new-york/escarpment-trail-and-schutt-road-loop,https://www.alltrails.com/trail/us/new-york/inspiration-point-to-katerskill-falls-loop,High,,,Verified as an indexed direct AllTrails trail page; confirm the route passes the DEC counter/trailhead.,escarpment-trail-and-schutt-road-loop,escarpmenttrailandschuttroadloop,,0.49122807017543857,crosswalk_only_no_download,,,,,,,,,,,,,,,Needs coordinates
Seager,,,Low,Y,,"A Seager approach is indexed by title, but a direct trail-page URL could not be independently confirmed.",,,,,no_valid_crosswalk_url,,,,,,,,,,,,,,,Needs coordinates
Steenburgh Rd (Long Path North),,,Low,,,DEC label names a Long Path road access; no single indexed direct trail-page URL could be confirmed.,,,,,no_valid_crosswalk_url,,,,,,,,,,,,,,,Needs coordinates
Storks Nest,,,Low,,,"An Escarpment route from Storks Nest Road is indexed by title, but its direct trail-page URL could not be independently confirmed.",,,,,no_valid_crosswalk_url,,,,,,,,,,,,,,,Needs coordinates
Trails End Road,,,Low,,,DEC label names a road/trailhead and no indexed direct AllTrails trail page could be confirmed.,,,,,no_valid_crosswalk_url,,,,,,,,,,,,,,,Needs coordinates
Vly,,,Low,,,"Vly/Bearpen routes are indexed by title, but a direct trail-page URL could not be independently confirmed.",,,,,no_valid_crosswalk_url,,,,,,,,,,,,,,,Needs coordinates
Wittenberg,https://www.alltrails.com/trail/us/new-york/wittenberg-and-cornell-mountains-trail,https://www.alltrails.com/trail/us/new-york/slide-cornell-and-wittenberg-mountains,High,N,,Verified as an indexed direct AllTrails trail page; confirm the route passes the DEC counter/trailhead.,wittenberg-and-cornell-mountains-trail,wittenbergandcornellmountainstrail,,0.6268656716417911,crosswalk_only_no_download,,,,,,,,,,,,,,,Needs coordinates
Woodland Valley,https://www.alltrails.com/trail/us/new-york/wittenberg-and-cornell-mountains-trail,,High,N,,Verified as an indexed direct AllTrails trail page; confirm the route passes the DEC counter/trailhead.,wittenberg-and-cornell-mountains-trail,wittenbergandcornellmountainstrail,,0.6268656716417911,crosswalk_only_no_download,,,,,,,,,,,,,,,Needs coordinates
