location,start_date,end_date,year,month,visitation_count,frequency,source_file,source_sheet,source_row,source_col,target_processing,trail_name
Ashokan HP,2001-01-01,2001-01-31,2001,1,53,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,5,12,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,2001-02-01,2001-02-28,2001,2,23,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,6,12,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,2001-03-01,2001-03-31,2001,3,52,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,7,12,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,2001-04-01,2001-04-30,2001,4,139,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,8,12,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,2001-05-01,2001-05-31,2001,5,206,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,9,12,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,2001-06-01,2001-06-30,2001,6,109,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,10,12,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,2001-07-01,2001-07-31,2001,7,241,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,11,12,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,2001-08-01,2001-08-31,2001,8,140,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,12,12,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,2001-09-01,2001-09-30,2001,9,186,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,13,12,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,2001-10-01,2001-10-31,2001,10,234,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,14,12,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,2001-11-01,2001-11-30,2001,11,112,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,15,12,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,2001-12-01,2001-12-31,2001,12,54,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,16,12,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,2002-01-01,2002-01-31,2002,1,114,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,5,13,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,2002-02-01,2002-02-28,2002,2,100,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,6,13,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,2002-03-01,2002-03-31,2002,3,108,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,7,13,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,2002-04-01,2002-04-30,2002,4,128,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,8,13,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,2002-05-01,2002-05-31,2002,5,175,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,9,13,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,2002-06-01,2002-06-30,2002,6,228,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,10,13,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,2002-07-01,2002-07-31,2002,7,289,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,11,13,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,2002-08-01,2002-08-31,2002,8,186,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,12,13,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,2002-09-01,2002-09-30,2002,9,188,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,13,13,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,2002-10-01,2002-10-31,2002,10,181,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,14,13,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,2002-11-01,2002-11-30,2002,11,104,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,15,13,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,2002-12-01,2002-12-31,2002,12,88,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,16,13,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,2003-01-01,2003-01-31,2003,1,51,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,5,14,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,2003-02-01,2003-02-28,2003,2,50,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,6,14,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,2003-03-01,2003-03-31,2003,3,46,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,7,14,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,2003-04-01,2003-04-30,2003,4,130,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,8,14,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,2003-05-01,2003-05-31,2003,5,187,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,9,14,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,2003-06-01,2003-06-30,2003,6,112,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,10,14,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,2003-07-01,2003-07-31,2003,7,314,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,11,14,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,2003-08-01,2003-08-31,2003,8,213,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,12,14,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,2003-09-01,2003-09-30,2003,9,163,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,13,14,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,2003-10-01,2003-10-31,2003,10,199,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,14,14,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,2003-11-01,2003-11-30,2003,11,90,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,15,14,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,2003-12-01,2003-12-31,2003,12,33,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,16,14,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,2004-01-01,2004-01-31,2004,1,99,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,5,15,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,2004-02-01,2004-02-29,2004,2,85,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,6,15,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,2004-03-01,2004-03-31,2004,3,43,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,7,15,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,2004-04-01,2004-04-30,2004,4,144,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,8,15,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,2004-05-01,2004-05-31,2004,5,194,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,9,15,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,2004-06-01,2004-06-30,2004,6,161,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,10,15,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,2004-07-01,2004-07-31,2004,7,207,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,11,15,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,2004-08-01,2004-08-31,2004,8,216,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,12,15,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,2004-09-01,2004-09-30,2004,9,190,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,13,15,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,2004-10-01,2004-10-31,2004,10,247,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,14,15,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,2004-11-01,2004-11-30,2004,11,62,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,15,15,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,2004-12-01,2004-12-31,2004,12,55,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,16,15,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,2005-01-01,2005-01-31,2005,1,53,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,5,16,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,2005-02-01,2005-02-28,2005,2,60,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,6,16,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,2005-03-01,2005-03-31,2005,3,65,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,7,16,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,2005-04-01,2005-04-30,2005,4,72,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,8,16,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,2005-05-01,2005-05-31,2005,5,219,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,9,16,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,2005-06-01,2005-06-30,2005,6,112,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,10,16,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,2005-07-01,2005-07-31,2005,7,279,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,11,16,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,2005-08-01,2005-08-31,2005,8,136,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,12,16,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,2005-09-01,2005-09-30,2005,9,153,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,13,16,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,2005-10-01,2005-10-31,2005,10,170,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,14,16,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,2005-11-01,2005-11-30,2005,11,136,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,15,16,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,2005-12-01,2005-12-31,2005,12,47,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,16,16,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,2006-01-01,2006-01-31,2006,1,42,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,5,17,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,2006-02-01,2006-02-28,2006,2,71,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,6,17,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,2006-03-01,2006-03-31,2006,3,73,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,7,17,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,2006-04-01,2006-04-30,2006,4,160,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,8,17,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,2006-05-01,2006-05-31,2006,5,122,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,9,17,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,2006-06-01,2006-06-30,2006,6,149,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,10,17,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,2006-07-01,2006-07-31,2006,7,243,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,11,17,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,2006-08-01,2006-08-31,2006,8,214,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,12,17,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,2006-09-01,2006-09-30,2006,9,206,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,13,17,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,2006-10-01,2006-10-31,2006,10,344,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,14,17,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,2006-11-01,2006-11-30,2006,11,157,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,15,17,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,2006-12-01,2006-12-31,2006,12,125,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,16,17,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,2007-01-01,2007-01-31,2007,1,46,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,5,18,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,2007-02-01,2007-02-28,2007,2,45,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,6,18,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,2007-03-01,2007-03-31,2007,3,59,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,7,18,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,2007-04-01,2007-04-30,2007,4,94,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,8,18,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,2007-05-01,2007-05-31,2007,5,193,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,9,18,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,2007-06-01,2007-06-30,2007,6,170,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,10,18,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,2007-07-01,2007-07-31,2007,7,263,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,11,18,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,2007-08-01,2007-08-31,2007,8,226,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,12,18,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,2007-09-01,2007-09-30,2007,9,194,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,13,18,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,2007-10-01,2007-10-31,2007,10,244,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,14,18,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,2007-11-01,2007-11-30,2007,11,118,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,15,18,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,2007-12-01,2007-12-31,2007,12,53,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,16,18,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,2010-01-01,2010-01-31,2010,1,0,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,5,21,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,2010-02-01,2010-02-28,2010,2,0,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,6,21,observed_monthly_from_register_tally,Ashokan High Point Trail
Ashokan HP,2010-03-01,2010-03-31,2010,3,0,monthly,Trail Register Tally_8_9_24_(1).xlsx,Ashokan HP,7,21,observed_monthly_from_register_tally,Ashokan High Point Trail
