location,search_query,matched_name,latitude,longitude,osm_class,osm_type,county,state,match_score,geocoding_source
Hardenburgh- MH Trail,Hardenburgh Trail New York,"Mongaup - Hardenburgh Trail, Town of Rockland, Sullivan County, New York, United States",41.9698868,-74.6831742,,track,Sullivan County,New York,0.9684684684684686,OpenStreetMap Nominatim
Kelly Hollow,Kelly Hollow New York,"Kelly Hollow Cross-Country Ski Trail, Town of Hardenburgh, Town of Middletown, Ulster County, New York, 12459, United States",42.0691965,-74.6504016,,footway,Ulster County,New York,0.7896551724137932,OpenStreetMap Nominatim
Lane Street,Phoenicia New York,"Phoenicia, Town of Shandaken, Ulster County, New York, 12464, United States",42.0833999,-74.3143126,,village,Ulster County,New York,0.8870967741935485,OpenStreetMap Nominatim
Long Pond,Long Pond Sullivan County New York,"Long Pond, Town of Neversink, Sullivan County, New York, United States",41.9378081,-74.6330476,,water,Sullivan County,New York,1.1538461538461537,OpenStreetMap Nominatim
McKenley Hollow,Oliverea New York,"Oliverea, Town of Shandaken, Ulster County, New York, 12410, United States",42.0653686,-74.460152,,hamlet,Ulster County,New York,0.8736263736263737,OpenStreetMap Nominatim
Millbrook to BLM FT,Mill Brook Ridge New York,"Mill Brook Ridge, Ulster County, New York, United States",42.0466075,-74.6065975,,ridge,Ulster County,New York,0.967283950617284,OpenStreetMap Nominatim
Mt Tremper,Tremper Mountain New York,"Tremper Mountain, Town of Shandaken, Ulster County, New York, 12416, United States",42.0744973,-74.2778884,,peak,Ulster County,New York,0.9672897196261683,OpenStreetMap Nominatim
Neversink Hardenburgh Trail,Neversink Hardenburgh Trail New York,"Neversink - Hardenburgh Trail, Town of Hardenburgh, Ulster County, New York, United States",42.0152073,-74.5606107,,path,Ulster County,New York,1.0806451612903227,OpenStreetMap Nominatim
Onteora Lake,Onteora Lake Kingston New York,"Onteora Lake, Stony Hollow, Town of Kingston, Ulster County, New York, United States",41.9833014,-74.0820539,,water,Ulster County,New York,1.0263157894736843,OpenStreetMap Nominatim
Overlook,Overlook Mountain New York,"Overlook Mountain, Town of Woodstock, Ulster County, New York, United States",42.0850792,-74.0932336,,peak,Ulster County,New York,1.0098039215686274,OpenStreetMap Nominatim
Peekamoose,Peekamoose Mountain New York,"Peekamoose Mountain, Ulster County, New York, United States",41.9531481,-74.398207,,peak,Ulster County,New York,1.1436781609195403,OpenStreetMap Nominatim
Red Hill Dinch Road,Red Hill Road Denning New York,"Red Hill Road, Town of Denning, Ulster County, New York, 12725, United States",41.9198583,-74.5257114,,residential,Ulster County,New York,1.060747663551402,OpenStreetMap Nominatim
Rider Hollow,Rider Hollow Road New York,"Rider Hollow Road, Mapledale, Town of Hardenburgh, Ulster County, New York, 12406, United States",42.1080855,-74.5367906,,residential,Ulster County,New York,0.9262295081967213,OpenStreetMap Nominatim
Rochester Hollow,Big Indian New York,"Big Indian, Town of Shandaken, Ulster County, New York, 12410, United States",42.10259,-74.4437624,,hamlet,Ulster County,New York,0.9000000000000001,OpenStreetMap Nominatim
Seager,Dry Brook Road New York,"Dry Brook Road, Town of Colchester, Delaware County, New York, United States",41.9885977,-74.9914971,,residential,Delaware County,New York,0.9646464646464648,OpenStreetMap Nominatim
Slide Mt,Slide Mountain New York,"Slide Mountain, Town of Shandaken, Ulster County, New York, United States",41.9992026,-74.3859419,,peak,Ulster County,New York,0.9791666666666667,OpenStreetMap Nominatim
Trails End Road,Livingston Manor New York,"Livingston Manor, Town of Rockland, Sullivan County, New York, 12758, United States",41.9003667,-74.8282167,,village,Sullivan County,New York,0.962962962962963,OpenStreetMap Nominatim
Upper Cherrytown Road,Upper Cherrytown Road New York,"Upper Cherrytown Road, Town of Rochester, Ulster County, New York, 12446, United States",41.8392453,-74.3444068,,residential,Ulster County,New York,1.0128205128205128,OpenStreetMap Nominatim
Wittenberg,Wittenberg Mountain New York,"Wittenberg Mountain, Town of Shandaken, Ulster County, New York, United States",42.0081538,-74.3473743,,peak,Ulster County,New York,1.028301886792453,OpenStreetMap Nominatim
Woodchuck Hollow,Woodchuck Hollow New York,"Woodchuck Hollow, Town of Hamden, Delaware County, New York, United States",42.2235783,-75.0100148,,residential,Delaware County,New York,1.0050505050505052,OpenStreetMap Nominatim
Woodland Valley,Woodland Valley Road Phoenicia New York,"Woodland Valley Road, Phoenicia, Town of Shandaken, Ulster County, New York, 12464, United States",42.0799504,-74.3331473,,residential,Ulster County,New York,1.0735294117647058,OpenStreetMap Nominatim
